"Depths","NMDS1","NMDS2","DepthCategorical"
10,-0.452953549768767,-1.18030899358463,"Shallow"
30,-0.250576948553194,-1.21866008710514,"Shallow"
40,-0.164135461485609,-0.702129852048049,"Shallow"
45,0.230630698464934,-0.934273612187992,"Shallow"
50,0.110519377795717,-0.998674902736153,"Shallow"
55,-0.745215637804352,-0.385912036627882,"Shallow"
60,-0.691272861487592,-0.196897481956638,"Shallow"
65,-0.793589752563139,-0.0240790204706607,"Shallow"
70,-0.49238676303339,0.365627134371182,"Deep"
75,-0.686212635463332,0.351693937651525,"Deep"
80,-0.712632995201799,0.411014151972225,"Deep"
85,-0.693863720690979,0.498490856547453,"Deep"
90,-0.372738317528345,0.670637975851307,"Deep"
95,-0.507064282505053,0.733583798679429,"Deep"
100,-0.345606261214074,0.535364094657739,"Deep"
105,-0.0542976961444663,0.808227858160944,"Deep"
110,0.543559982914239,0.524859770235906,"Deep"
115,0.568470852070311,0.107168713699077,"Deep"
120,0.452384984576302,0.222766356618373,"Deep"
125,0.61652341026324,0.216048982112479,"Deep"
130,1.32945020008186,0.0484841649944382,"Deep"
135,1.42107310582178,0.201601767478236,"Deep"
140,1.68993427145571,-0.05463357631317,"Deep"
